Country,corruption,employment,HDI,life_exp,pop_dens,ppp,prosperity,a,b,c,d
Burkina Faso,37.67847636,63.97981817,0.402022143,58.13590909,62.61623139,1753.520364,43.95092494,-114.6615163,2.863549996,0.065790429,3.467032733
Cambodia,20.73687182,81.60745517,0.556145366,67.29563636,85.21275107,3600.797818,47.49218457,-0.26069789,0.067937248,0.184998056,-3.32485168
Cameroon,24.95658818,73.59281783,0.530228289,56.09381818,46.83667769,3441.150818,41.86774573,9.36652663,0.787424494,0.280602161,-1.506075779
Canada,83.06587,61.21527238,0.909733739,81.49254989,3.857559952,46125.95145,79.52111393,-82.79470833,2.807553678,0.156488497,-2.18409735
Chile,69.46714182,57.31400022,0.828754442,79.10136364,23.71963459,23475.49364,68.0182527,-199.8863169,4.142603137,0.126500083,2.985586077
China,38.21415727,66.82681899,0.728592116,75.01772727,144.6601996,14679.69827,58.50140872,-112527.8411,1.096068258,0.020256314,11.47955115
Colombia,36.31515818,63.39181865,0.745292814,75.86027273,42.0890624,13584.78564,57.00826816,-95.96638915,4.283980267,0.116717314,2.531811207
Comoros,25.37337,41.62045461,0.528625765,62.47445455,399.1372054,2650.216,44.82653448,,,,
"Congo, Dem. Rep.",20.56460636,61.80663612,0.433956719,57.77981818,31.63206903,728.7738182,33.47926516,-15.7712383,1.358173841,0.10853265,2.242368847
Costa Rica,54.45281364,56.04690899,0.777014839,79.09909091,92.78990136,15697.04927,66.9674532,-99.72354962,1.342482009,0.069585212,4.062976409
Cote d'Ivoire,29.57609455,56.07927253,0.480808525,54.18218182,69.77251344,3486.085909,42.92211025,-46.00602346,8.500078881,0.097029891,1.271825948
Croatia,46.21295,45.28318197,0.823926356,76.88099778,75.61318962,23263.04736,64.98135871,-53.88129642,2.276414968,0.111682194,2.055694175
Cuba,45.33085364,53.16400008,0.771407643,78.40409091,107.2929769,,54.24326893,-20.12463752,48.39963566,0.140506492,-1.267487749
Cyprus,61.24149455,56.05545495,0.859497642,79.80009091,123.4593172,36417.296,69.21200658,-23.23903745,2.236727286,0.109505196,2.484640896
Czech Republic,51.78916727,56.28481848,0.874848411,78.0210643,136.1734492,32976.85209,72.00468724,-383.2422838,6.873828876,0.09505611,3.404428707
Denmark,90.62916364,58.93172663,0.922917201,79.79556541,133.6450862,48125.14873,83.03175184,-621.1127965,4.402672129,0.061690636,4.693442154
Dominican Republic,29.99069909,57.3404548,0.719995346,72.51718182,207.950876,15343.98427,56.373348,-61.89689162,4.866599604,0.145378181,1.052227712
Ecuador,30.95474182,63.95218138,0.744187116,75.519,63.4238532,11023.57864,54.40329325,-197.7600251,4.208121965,0.118768516,2.860162533
Egypt,32.78380636,43.10527281,0.681566234,70.73009091,89.04777675,12343.76118,46.51868183,-39.74305543,3.902451874,0.089100142,1.195453615
El Salvador,36.02262909,57.54254567,0.659862348,71.69681818,302.6199851,7346.928909,54.68127404,-13.46481691,2.041901186,0.105109463,1.805778438
Estonia,68.50328273,56.42872758,0.862817217,76.04035477,30.79392405,29407.36564,74.57110189,-127.2033207,3.322398925,0.0721132,3.202490102
